cycle,pangle,af,cmode
519,20.6,16.1879248,1.0,16.0
520,20.6333333,16.1838196,1.0,16.0
521,20.6666667,16.1797787,1.0,16.0
522,20.7,16.1757893,1.0,16.0
523,20.7333333,16.1718115,1.0,16.0
524,20.7666667,16.1678469,1.0,16.0
525,20.8,16.1639032,1.0,16.0
526,20.8333333,16.1599877,1.0,16.0
527,20.8666667,16.1561072,1.0,16.0
528,20.9,16.1522684,1.0,16.0
529,20.9333333,16.1484771,1.0,16.0
530,20.9666667,16.1447392,1.0,16.0
531,21.0,16.14106,1.0,16.0
532,21.0333333,16.1374376,1.0,16.0
533,21.0666667,16.1338358,1.0,16.0
534,21.1,16.1302421,1.0,16.0
535,21.1333333,16.1266635,1.0,16.0
536,21.1666667,16.1231074,1.0,16.0
537,21.2,16.1195808,1.0,16.0
538,21.2333333,16.1160903,1.0,16.0
539,21.2666667,16.112642,1.0,16.0
540,21.3,16.1092417,1.0,16.0
541,21.3333333,16.1058951,1.0,16.0
542,21.3666667,16.102607,1.0,16.0
543,21.4,16.0993477,1.0,16.0
544,21.4333333,16.0960924,1.0,16.0
545,21.4666667,16.092847,1.0,16.0
546,21.5,16.089619,1.0,16.0
547,21.5333333,16.0864154,1.0,16.0
548,21.5666667,16.083243,1.0,16.0
549,21.6,16.0801079,1.0,16.0
550,21.6333333,16.0770161,1.0,16.0
551,21.6666667,16.0739732,1.0,16.0
552,21.7,16.0709843,1.0,16.0
553,21.7333333,16.068035,1.0,16.0
554,21.7666667,16.0650867,1.0,16.0
555,21.8,16.0621437,1.0,16.0
556,21.8333333,16.0592135,1.0,16.0
557,21.8666667,16.0563033,1.0,16.0
558,21.9,16.0534198,1.0,16.0
559,21.9333333,16.0505696,1.0,16.0
560,21.9666667,16.0477588,1.0,16.0
561,22.0,16.0449934,1.0,16.0
562,22.0333333,16.042279,1.0,16.0
563,22.0666667,16.0395351,1.0,16.0
564,22.1,16.0364652,1.0,16.0
565,22.1333333,16.0330255,1.0,16.0
566,22.1666667,16.0292494,1.0,16.0
567,22.2,16.0251689,1.0,16.0
568,22.2333333,16.0208143,1.0,16.0
569,22.2666667,16.0162136,1.0,16.0
570,22.3,16.011394,1.0,16.0
571,22.3333333,16.0063798,1.0,16.0
572,22.3666667,16.0011763,1.0,16.0
573,22.4,15.9957503,1.0,16.0
574,22.4333333,15.9901204,1.0,16.0
575,22.4666667,15.9843112,1.0,16.0
576,22.5,15.978347,1.0,16.0
577,22.5333333,15.97225,1.0,16.0
578,22.5666667,15.9660395,1.0,16.0
579,22.6,15.9597366,1.0,16.0
580,22.6333333,15.95336,1.0,16.0
581,22.6666667,15.946895,1.0,16.0
582,22.7,15.9402931,1.0,16.0
583,22.7333333,15.9335721,1.0,16.0
584,22.7666667,15.9267523,1.0,16.0
585,22.8,15.9198509,1.0,16.0
586,22.8333333,15.9128869,1.0,16.0
587,22.8666667,15.9058774,1.0,16.0
588,22.9,15.8988384,1.0,16.0
589,22.9333333,15.8917829,1.0,16.0
590,22.9666667,15.8846802,1.0,16.0
591,23.0,15.8774681,1.0,16.0
592,23.0333333,15.8701587,1.0,16.0
593,23.0666667,15.8627714,1.0,16.0
594,23.1,15.8553243,1.0,16.0
595,23.1333333,15.8478342,1.0,16.0
596,23.1666667,15.8403144,1.0,16.0
597,23.2,15.8327819,1.0,16.0
598,23.2333333,15.8252503,1.0,16.0
599,23.2666667,15.8176973,1.0,16.0
600,23.3,15.8100779,1.0,16.0
601,23.3333333,15.8024063,1.0,16.0
602,23.3666667,15.7946976,1.0,16.0
603,23.4,15.786964,1.0,16.0
604,23.4333333,15.7792179,1.0,16.0
605,23.4666667,15.7714737,1.0,16.0
606,23.5,15.7637427,1.0,16.0
607,23.5333333,15.7560356,1.0,16.0
608,23.5666667,15.7483599,1.0,16.0
609,23.6,15.7406985,1.0,16.0
610,23.6333333,15.7329746,1.0,16.0
611,23.6666667,15.7251877,1.0,16.0
612,23.7,15.7173496,1.0,16.0
613,23.7333333,15.7094773,1.0,16.0
614,23.7666667,15.7015841,1.0,16.0
615,23.8,15.6936834,1.0,16.0
616,23.8333333,15.685784,1.0,16.0
617,23.8666667,15.6778989,1.0,16.0
618,23.9,15.6700394,1.0,16.0
619,23.9333333,15.6622125,1.0,16.0
620,23.9666667,15.6543723,1.0,16.0
621,24.0,15.6464957,1.0,16.0
622,24.0333333,15.6385948,1.0,16.0
623,24.0666667,15.6306828,1.0,16.0
624,24.1,15.6227698,1.0,16.0
625,24.1333333,15.6148658,1.0,16.0
626,24.1666667,15.6069845,1.0,16.0
627,24.2,15.5991352,1.0,16.0
628,24.2333333,15.5913272,1.0,16.0
629,24.2666667,15.5835662,1.0,16.0
