cycle,real_drel,ow_drel,phi
106,53.34531440000001,53.3453144,11.97679938000001
107,53.4668241,53.4668242,12.046100840000001
108,53.591815999999994,53.5918159,12.122531079999995
109,53.72047029999999,53.7204702,12.206107059999987
110,53.85295289999999,53.8529529,12.296824439999995
111,53.989414599999975,53.9894146,12.394659719999979
112,54.129990899999996,54.1299909,12.49957312
113,54.274801999999966,54.274802,12.61150969999997
114,54.42395300000004,54.423953,12.730402220000045
115,54.57753439999999,54.5775343,12.856173039999995
116,54.73562190000001,54.7356218,12.988734340000015
117,54.898277399999984,54.8982774,13.127990379999986
118,55.06554940000001,55.0655494,13.273838880000007
119,55.23747300000002,55.237473,13.426171020000027
120,55.41407120000002,55.4140712,13.584873020000025
121,55.595354799999996,55.5953548,13.749826460000001
122,55.781323499999985,55.7813234,13.920909239999986
123,55.97196589999999,55.9719659,14.097995439999991
124,56.167260999999996,56.167261,14.28095682
125,56.36717759999999,56.3671776,14.469662079999992
126,56.57167569999996,56.5716756,14.66397811999996
127,56.780706599999974,56.7807065,14.86376929999998
128,56.994213599999966,56.9942136,15.06889869999997
129,57.21213240000003,57.2121324,15.279227400000032
130,57.43439179999996,57.4343918,15.49461559999996
131,57.660913600000015,57.6609136,15.714921400000016
132,57.89161359999997,57.8916136,15.940002359999973
133,58.12640170000003,58.1264016,16.16971448000003
134,58.36518210000003,58.3651821,16.403912680000026
135,58.607854299999985,58.6078543,16.642451239999986
136,58.85431270000004,58.8543127,16.88518298000004
137,59.10444749999999,59.1044475,17.131960439999993
138,59.35814439999996,59.3581444,17.382634459999963
139,59.61528559999999,59.6152855,17.637055739999994
140,59.875749299999995,59.8757493,17.895073779999997
141,60.139410699999985,60.1394107,18.156537179999987
142,60.406141700000035,60.4061416,18.42129418000004
143,60.67581110000003,60.675811,18.68919188000003
144,60.94828530000001,60.9482853,18.960076940000008
145,61.22342809999998,61.223428,19.233795239999978
146,61.50110080000002,61.5011008,19.51019170000002
147,61.78116269999998,61.7811627,19.789111199999986
148,62.0634713,62.0634713,20.070397660000005
149,62.347881700000016,62.3478817,20.35389428000002
150,62.63424799999996,62.634248,20.639444099999963
151,62.92242220000003,62.9224222,20.926889460000034
152,63.21225509999999,63.2122551,21.2160722
153,63.50359629999997,63.5035963,21.506833799999967
154,63.79629410000001,63.7962941,21.79901542000001
155,64.0901958,64.0901958,22.092457780000004
156,64.38514779999997,64.3851478,22.387001399999974
157,64.68099559999996,64.6809956,22.682486459999964
158,64.97758399999998,64.977584,22.97875313999998
159,65.27475709999999,65.2747571,23.27564119999999
160,65.5723587,65.5723587,23.572990519999998
161,65.8702318,65.8702318,23.8706406
162,66.1682194,66.1682194,24.168431500000004
163,66.46616399999999,66.466164,24.46620263999999
164,66.76390800000001,66.763908,24.763794320000017
165,67.06129380000004,67.0612938,25.061046420000046
166,67.35816370000003,67.3581637,25.357799280000037
167,67.65435999999994,67.65436,25.653893379999943
168,67.94972530000001,67.9497252,25.949169780000013
169,68.24410210000008,68.2441021,26.243469440000077
170,68.53733380000006,68.5373337,26.53663464000006
171,68.8292634,68.8292634,26.82850698
172,69.11973510000007,69.1197351,27.118929820000076
173,69.40859299999994,69.408593,27.407746139999944
174,69.6956821,69.6956821,27.694800380000004
175,69.98084810000006,69.9808481,27.979937260000064
176,70.26393710000002,70.2639371,28.263002460000024
177,70.54479630000003,70.5447964,28.543842340000033
178,70.82327370000002,70.8232737,28.822304480000014
179,71.09921810000003,71.0992181,29.098237260000033
180,71.37247919999993,71.3724793,29.371489959999934
181,71.6429081,71.6429081,29.641913260000003
182,71.91035669999997,71.9103567,29.90935877999997
183,72.17467809999994,72.1746781,30.17367919999994
184,72.43572669999998,72.4357267,30.43472877999998
185,72.6933583,72.6933583,30.692363040000004
186,72.94742989999997,72.9474298,30.946438839999978
187,73.19779979999998,73.1977997,31.19681419999999
188,73.44432789999996,73.4443279,31.443349019999964
189,73.6868758999999,73.6868759,31.685904579999907
190,73.9253066,73.9253066,31.924343820000004
